title,category,description
The Survivors Club,Thriller,“Starts fast and never stops moving. Clever complex and original!”—Phillip Margolin THE SURVIVORS CLUB . . . that’s what Jillian Hayes Carol Rosen and Meg Pesaturo call it. They won’t consider themselves victims. They are survivors. They helped lead the investigation that caught the man who changed their lives forever. Now they are the prime suspects in his murder. Could three ordinary women have been driven to do the unthinkable? Detective Sergeant Roan Griffin knows all too well what can drive even the best people to cross the line. Has someone in the Survivors Club become a killer? And if so can he blame her let alone bring her to justice? “Has it all: provocative plotting engaging characters and a razor-sharp emotional edge.”—Stephen White “This club is worth the dues.”—People
Pretty Girls,Thriller,'I'd follow her anywhere' GILLIAN FLYNN 'One of the boldest thriller writers working today' TESS GERRITSEN 'Her characters plot and pacing are unrivalled' MICHAEL CONNELLY _________________________________________ FROM THE AUTHOR OF PIECES OF HER NOW A MAJOR NETFLIX SERIES. A heart-racing thriller from the No. 1 Sunday Times bestselling author. A missing girl. A family torn apart. An unsolved mystery. Twenty years ago Claire and Lydia Scott's older sister vanished without a trace. Her disappearance had a devastating effect on their family. Now another teenage girl is missing and the circumstances of her disappearance are hauntingly similar to Julia's . . . It's up to Lydia and Claire to revisit their past unearthing the secrets that destroyed their family all those years ago. Will they be able to face what they find along the way? _________________________________________ Crime and thriller masters know there's nothing better than a little Slaughter: 'Passion intensity and humanity' LEE CHILD 'A writer of extraordinary talents' KATHY REICHS 'Fiction doesn't get any better than this' JEFFERY DEAVER 'A great writer at the peak of her powers' PETER JAMES 'Raw powerful and utterly gripping' KATHRYN STOCKETT 'With heart and skill Karin Slaughter keeps you hooked from the first page until the last' CAMILLA LACKBERG 'Amongst the world's greatest and finest crime writers' YRSA SIGURÐARDÓTTIR
One Mistake,Thriller,‘I was on the edge of my seat and through bleary eyes I read this in one sitting… Make sure you have nothing else on when you start One Mistake as you will not be able to tear yourself away! You have been warned.’ Once Upon A Time Book Blog ⭐⭐⭐⭐⭐ My family. Her heart swelled with love. They were all that mattered. And she knew she’d do anything anything at all for them. Sara made one promise to herself when she was growing up in foster care: that if she was lucky enough to have a family she’d always do whatever it took to protect them. Looking around her home with its cosy kitchen and living room where her energetic teenage daughters and gorgeous four-year-old son all eat play and live together she knows she’d do anything to keep them safe. So when Sara’s husband Matt loses his job and every shred of his confidence with it she knows it’s up to her to bring the family back from the brink. Though she doesn’t know where she can possibly find the money they need to keep afloat. Until her boss at work offers her a deal. He’ll help out. She just has to do him one little favour. But could trusting him save Sara’s family or will it be a mistake that costs her absolutely everything? This year’s most gripping psychological thriller – perfect for fans of My Lovely Wife The Girl on the Train and Something in the Water. Readers are loving One Mistake: ‘What a fantastic book! I've never read any of Rona's Halsall's books before and now I know I've really been missing out!… I can't recommend this book enough. It keeps you thrilled and guessing right to the end and I couldn't stop reading until I had finished.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘Kept me on the edge of my seat… I loved that it kept taking me by surprise sending my heart and pulse racing. A nail biter of a read where the suspense doesn’t let up. Loved it!’ By the Letter Book Reviews ⭐⭐⭐⭐⭐ ‘Impossible to put down… a taut mesmerising story chock-a-block with secrets lies and deceit… A true masterpiece.’ Brianne’s Book Reviews ⭐⭐⭐⭐⭐ ‘To describe this book in one word – brilliant… This book is perfectly written the story keeps you hooked and needing to know what happens next. The twists and turns were just brilliant!’ Victoria Wilks Writes ⭐⭐⭐⭐⭐ ‘Now if you’re after a book that will have you constantly second guessing this is the one for you… YOU HAVE TO GIVE THIS A GO!… An absolutely fantastic read full of twists and turns… A definite must read that is an emotional rollercoaster from beginning to end.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘Kept me on the edge of my seat all the way through… I loved that it kept taking me by surprise sending my heart and pulse racing. A nail biter of a read where the suspense doesn’t let up. Loved it!’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘Wow. I loved this book. Gripped from the very beginning until the end. So many twists and turns and heart in mouth moments.’ Red Velvet Bookshelf ⭐⭐⭐⭐⭐ ‘Hooked from the very first page… Instantly sucks you in. I’m still in shock.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘Please make sure you have plenty of time once you start reading it because it's so captivating that you will scarcely be able to put it down!’ B for Bookreview ⭐⭐⭐⭐⭐ ‘I thought My Lovely Wife was intense this one was even more… Close to unputdownable. Creepy and twisty.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘I have not been able to put this one down and have devoured this book in just one sitting. It is absolutely fantastic.’ Little Miss Book Lover 87 ⭐⭐⭐⭐⭐ ‘Thrilled me off my seat!... A heart-stopping thriller… Absolutely enthralling!!’ Book Reviews by Shalini ⭐⭐⭐⭐⭐
3 Lies,Thriller,~ a Kindle #1 Techno Thriller ~ Terrorists? Or someone more sinister . . . On hiatus from the corporate treadmill Clint finds love to last a lifetime in Beth. While she recovers from kidney failure through dialysis Beth is kidnapped from her home. But Clint's the only one who suspects foul play in her disappearance. In spite of the evidence her family refuses to admit she's in danger. And without routine dialysis Beth won't survive. Five hundred miles south the case attracts the attention of spy trackers at the CIA. Can Clint find Beth before her kidneys fail or her abductors unload a bullet in his head...
The Invite,Thriller,Kaitlin has been looking forward to her engagement party for weeks. She’s finally introducing her fiancé Greg to her best friend Zoe but as the champagne corks pop her dream party soon becomes her worst nightmare… Staring at the stunning diamond solitaire on her finger Kaitlin knows her relationship has been a whirlwind… but Greg looks after her and he loves playing dad to her young daughter. How could she refuse when he’s already planned their romantic elopement? As the guests arrive Kaitlin wonders why Greg is suddenly acting so shifty. Is that a flicker of recognition on Zoe’s face? And why does she look terrified every time her phone rings? Kaitlin watches as Zoe knocks back her white wine and makes a beeline for Greg. Then after a heated conversation her best friend stumbles outside without looking back. Days later the police knock at Kaitlin’s door – Zoe is missing. When the police question Greg about the night of the party Kaitlin knows he’s telling lies. But why would he? Can she really trust the man she’s marrying? And could her precious daughter’s life now be in danger too? The Invite is an absolutely unmissable psychological thriller perfect for fans of The Girl on the Train Gone Girl and The Wife. You’ll be hooked from the first page! What readers are saying about The Invite: ‘OMG! Once I started I didn’t want to put it down… Wow!… A real page-turner… Kept me enthralled.’ Nicki’s Book Blog 5 stars ‘I absolutely loved this book. I didn’t know where it was going it kept my intrigued right up to the last page.’ @LawOfIllustion90 5 stars ‘Had my heart racing… Totally addictive.’ Karen King 5 stars ‘I was hooked from the first page right until the end. I just couldn’t put it down.’ Goodreads reviewer 5 stars ‘Captivated… I was compelled to read the whole book in one sitting.’ Nicki’s Life of Crime 5 stars ‘Unputdownable.’ Celtic Connexions 5 stars ‘A thrilling gripping rollercoaster of a story!’ Carla Kovach 5 stars ‘A definite page-turner. I read it in 2 days!’ NetGalley reviewer 5 stars ‘A thrilling story that keeps you turning the pages.’ Goodreads reviewer ‘You won’t want to put this one down. It’s thrills and chills from beginning to end.’ Goodreads reviewer
True Evil,Thriller,WHAT WOULD YOU DO IF SOMEONE CLOSE TO YOU WAS A PSYCHOPATH? Shane Hanson was set up for a double homicide when he was only 13 years old. His relative did it because she blames him for the death of her one true love. After spending five years in juvie he's released on parole and determined to reveal the truth about his relative. In the meantime he meets a girl he develops feelings for. Shane's relative is a psychopath so good at manipulating people that she has managed to get everyone to believe Shane killed two people that she's killed. She never expected Shane to get such a soft sentence but instead that he would remain in jail forever. Now she must start from scratch to get him back behind bars. To get her revenge right finally she'll use the girl Shane falls in love with breaking his heart as much as his spirit. NOTE: No sex or violence but some bad language. Book 2 in the Evil trilogy. Born Evil is the first book. Murder dark
Scars,Thriller,The wounds you can’t see take the longest to heal in this modern gothic thriller from the bestselling author of Girl A and Damaged. In an isolated cottage on the banks of a Scottish loch a reclusive couple take on a new live-in carer. As Lucy gets to know her employers she realizes the house and the people in it aren’t what they seem. Is the house haunted or is something far more sinister living within the walls? As secrets and lies begin to unravel Lucy starts to question what is real. But one thing seems certain if scars cannot heal people will never forgive . . . Praise for Girl A “A psychological thriller with a chill factor off the charts! . . . a real nail-biter.” —The Eclectic Review “Girl A has everything I look for in a book: dark psychological thriller great storyline and an unpredictable plot. I’m not exaggerating when I say I couldn’t put it down. This book is so well-written with a plot that unravels bit by bit just at the right times.” —Joyful Antidotes “The story flicks from present to past as it unfolds slowly and almost stalker-like . . . compelling gritty dark and twisted.” —Sharon Beyond the Books “Superbly written . . . Reading Girl A was like being on a scary and unpredictable rollercoaster ride with several shocks and surprises along the way.” —gingerbookgeek “Fantastic! . . . what brilliant writing . . . A book full of suspense thrills and drama.” —The Comfy Chair Book Reviews
Someone Else's Son: A page-turning psychological thriller with a breathtaking twist,Thriller,From the bestselling author of The Ex-Husband a tense twisty and emotional thriller which asks: Do we ever really know our children? What would you do if your teenage son was stabbed to death in the school playground? It's a question chat-show host Carrie Kent can imagine asking any of her studio guests. Her daily morning show deals with real life in all its grubby glory - from underage sex to benefit swindlers cheating partners to DNA testing. It's a million miles away from her perfect polished existence. But when she gets a call to say that her beloved son Max has been murdered Carrie and her ex-husband Brody will have to enter a world of poverty fear and violence if they want to find out what really happened. And when the shocking truth is finally revealed will they be able to live with it? EVERYONE is talking about Samantha Hayes: 'Heartbreaking ⭐ ⭐ ⭐ ⭐ ⭐' 'Grabs your heart squeezes and never lets go ⭐ ⭐ ⭐ ⭐ ⭐' 'I was fully immersed from the beginning ⭐ ⭐ ⭐ ⭐ ⭐' 'Absolutely brilliant ⭐ ⭐ ⭐ ⭐ ⭐' 'Compelling from start to finish ⭐ ⭐ ⭐ ⭐ ⭐'
Paradox,Thriller,#1 New York Times bestselling author Catherine Coulter delves into the terrifying mind of a dangerous psychopath obsessed with revenge in this next instalment of her riveting FBI series. When an armed man fails to kidnap five-year-old Sean Savich agents Sherlock and Savich know they’re in his crosshairs and must find him before he continues with his kill list. Chief Ty Christie of Willicott Maryland witnesses a murder a dawn from the deck of her cottage on Lake Massey. When dragging the lake the divers not only find the murder victim they also discover dozens of bones. Even more shocking is the identification of a unique belt buckle found among the remains. Working together with Chief Christie Savich and Sherlock soon discover a frightening connection between the bones and the escaped psychopath. Paradox is a chilling mix of Dr Jekyll and Mr Hyde old secrets that refuse to stay buried and ruthless greed that keeps Savich and Sherlock and Chief Ty Christie working at high speed to uncover the truth before their own bones end up at the bottom of the lake. With unparalleled suspense and Coulter’s trademark explosive twists Paradox is the twenty-second FBI thriller. 'Coulter fans will have a tough time putting this one down.' Publishers Weekly 'Action is nonstop in this latest entry in Coulter's FBI Thriller series... Perfect for the beach and beyond.' Booklist
The Eight-Year Lie,Thriller,She ran from the truth. She will do whatever it takes to hide it. Jessica returns home one day to find her husband Patrick dead. It’s unclear what caused his death and though the shock is huge she cannot pretend it’s entirely unexpected. The police have questions and Jessica knows that once they hear the answers her fate may well be sealed. Eight years ago Jessica was living another life. She was a different person and despite what people think she has changed. Anyway there was never any proof that she harmed anyone back then. Yet on the day she loses her husband a ghost from the past reappears. Louise was her friend once but that was then. Now they are strangers. Except Louise seems very familiar – so familiar that it’s like peering into a mirror. Why would she go out of her way to look just like Jessica? Unless more than one person has been keeping deadly secrets... A gripping tale of desire and revenge packed with secrets and suspense. Perfect for fans of Lisa Jewell and K.L. Slater. What everyone is saying about J.M. Hewitt: ‘I devoured it in one sitting! I could not get enough... This book keeps you on the edge of your seat until the final page!’ Once Upon A Time Book Blog ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ ‘Had me hooked in from the first page and frantically turning the pages... I didn’t want to finish the book. I really really enjoyed this enthralling thriller... An amazing book and very very highly recommended.’ Nicki’s Life of Crime ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ ‘A FANTASTIC can I say FANTASTIC AGAIN Book!!!!! Now this is what makes me Love reading a psychological novel. Sooooo fast-paced many twists and turns... More heart-pounding than you can imagine. LOVED LOVED LOVED!!! So sad it’s over.’ Goodreads Reviewer ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ ‘The perfect thriller! Full of chills thrills and everything in between this one kept me reading late into the night desperate to know how it ends! Full of fantastic twists and turns believable characters and a plot like nothing I’ve read before!’ NetGalley Reviewer ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ ‘So glad I discovered this author an unputdownable thriller that kept me hooked right until the end. Fantastic characters a great plot and the twists kept me hooked. Loved it!’ NetGalley Reviewer ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ ‘I devoured it in one sitting! I could not get enough... This book keeps you on the edge of your seat until the final page!’ Once Upon A Time Book Blog ⭐️ ⭐️ ⭐️ ⭐️ ⭐️
Long Bright River,Thriller,SELECTED BY BARACK OBAMA AS ONE OF HIS BEST BOOKS OF 2020 A New York Times bestseller and Guardian Book of the Month 'This flawless masterpiece deserves to be a bestseller.' DAILY EXPRESS 'Tough tense and twisty - but tender human and deeply affecting too ... I don't have a sister but when I finished the book I called my brother just to hear his voice.' LEE CHILD 'An outstanding crime novel.' PAULA HAWKINS author of The Girl on the Train _____________________________________ Once inseparable sisters Mickey and Kacey are on different paths but they walk the same streets. Mickey on her police beat and Kacey in the shadows of the city's darkest corners where the drug addicts and sex workers preside. When a string of murders coincides with Kacey's disappearance Mickey is terrified her sister could be next. But in a community where death and murder is rife will Mickey be able to save her sister before it's too late? _____________________________________ 'A remarkable profoundly moving novel about the ties that bind and the irrevocable wounds of childhood. It's also a riveting mystery perfectly paced. I loved every page of it.' DENNIS LEHANE 'It is by some considerable distance my crime novel of the year' IRISH TIMES 'Outstanding . . . an intense family thriller . . . The clever plot and involving characters set a high standard for this new year.' DAILY MAIL 'This is a thrilling and heartbreaking exploration of the strain the opioid crisis puts on families. A masterpiece.' DAILY MIRROR 'A dazzling propulsive humane work that not only bears comparison to Dennis Lehane and George Pelecanos but occasionally beats them at their own game' METRO 'heart-pounding thriller' VOGUE 'compassionate and enthralling' INDEPENDENT
How To Write a Chiller Thriller,Thriller,Have you dreamt of becoming a thriller writer but not dared to do so because of lack of self-belief or the necessary time or both? Are you also a thriller reader who has been disappointed by the sameness and lack of ambition in what you've read? If so this book will help you create chiller thrillers with a difference with memorable characters and truly chilling plots drawing not only from the past and present but the future too. From horror and the paranormal to equally disturbing scientific and hi-tech developments. Bravery is the key. So come on board! 
The Sisters Next Door,Thriller,‘Dark and dramatic with an explosive ending’ Diane Saxon Sisters Molly and Beth Winters thought their remote clifftop house would be the perfect place to hide away after their mother’s brutal murder. They were wrong... Because someone from the girls’ past has already found their safe house and he is watching and waiting in the shadows ready to make them pay. Their new home should have been the place the sisters were safe. But no place is safe forever and danger could be closer than they think... A gripping thriller from bestselling author L.H. Stacey guaranteed to keep you up all night! Perfect for fans of Teresa Driscoll Sue Watson Jackie Kabler and Kendra Elliot. Praise for L.H. Stacey: 'An atmospheric thriller with a knockout ending!' Diana Wilkinson 'Captivating and chilling with an ending I didn’t see coming!' Alex Stone 'A fabulous book that hooks you in and won't let you go till the very last page!' J.A. Baker 'A must read - highly original impossible to put down tense dark absolutely riveting' Mary Grand 'L.H. Stacey takes the reader on a journey of suspense with lots of twists and turns most of which you won't see coming. It was an incredibly great read from start to finish giving me goosebumps along the way' ⭐️⭐️⭐️⭐️⭐️ Reader Review Lynda Stacey is up there with Nora Roberts and Karen Rose when it comes to writing jaw-dropping nerve-twisting and addictive tales spiced with intrigue passion and suspense' ⭐️⭐️⭐️⭐️⭐️ Reader Review This book was previously published as No Place Like Home
Overkill,Thriller,The work examines the evolution of the thriller from the heyday of the Hollywood mogul era in the 1930s when it was primarily bottom-of-the-bill fodder through its maturity in the World War II years and noir-breeding 1950s its commercial and critical ascendancy in the 1960s and 1970s and finally its subsequent box office dominance in the age of the blockbuster.
Lethal Retraction,Thriller,When a dead body ends up in her trunk can Dr. Zora Smyth escape the web of lies and secrets that could destroy her? When the cops discover a dead body in her trunk on her way back from a medical conference Dr. Zora Smyth figures she can prove it has nothing to do with her. After all she’d been down this road before right? But the dead man turns out to be her colleague a fellow surgeon with a well-known grudge against her plunging Zora into the center of a murder investigation. As Zora scrambles to uncover the truth she soon realizes nothing is as it seems and finds herself caught in a web of lies and secrets at the hospital that extends beyond what she would have imagined. With her life spinning out of control as she races to save herself will Zora untangle herself and expose the truth in time to stop an unexpected enemy determined to destroy her at all costs? LETHAL RETRACTION is the sixth book in Dobi Cross' gripping suspense-filled series of medical thrillers. If you like page-turning non-gory medical thrillers filled with unexpected rollercoaster twists and intrigue you’ll love LETHAL RETRACTION. KEYWORDS: medical thriller serial killer thriller domestic thriller medical fiction medical suspense suspense thriller mystery thriller crime fiction murder thriller strong female protagonist thriller strong female thriller and suspense suspense series deadly crime thriller doctor doctor series strong heroine strong woman sleuth series thriller series long series complete series
The Only Girl Left Alive,Thriller,A serial child killer plays with authorities and plans his next kill... Investigative reporter Tess McClintock and FBI Special Agent Michael Carter track down clues in the most important cold case to them both -- the disappearance of Tess's friend Lisa Tate who went missing from Michael's back yard almost twenty years earlier. Working together they uncover evidence that suggests a different killer than the police and FBI have identified. One mistake by the killer leads Tess to take risks to find out the truth putting herself in danger The chilling conclusion to the McClintock-Carter Crime thriller trilogy THE ONLY GIRL LEFT ALIVE follows Tess and Michael as they search for the truth about the case that links them together and which sent them both on the path back to Paradise Hill.
I Am Elle,Thriller,An abused girl's desperate fight for survival and the silent killer determined to destroy her.Born on a small farm in Alabama Elenore Griffin spends her days in a Hell of her father's making.The system has failed her leaving her trapped in a world of unimaginable torture and pain.Sold to the highest bidder Elenore finds her nightmares have only just begun. And those responsible for her abuse begin disappearing around her without a trace while the local authorities seem to be at the center of it all.Step inside the world of a young girl who suffered the most heinous acts imaginable. And survived.This is her life. This is her story?
Find Them Dead,Thriller,Detective Superintendent Roy Grace unearths a powerful criminal network in the sinister crime novel Find Them Dead by award winning author Peter James. Ending his secondment to London’s Met Police Roy Grace gets a tip-off about a drugs mastermind operating out of Brighton. On his first day back in his old job he is called to a seemingly senseless murder. Gradually Grace’s investigation draws him into the evil sphere of an utterly ruthless drug dealer on trial. A man prepared to order the death of anyone it takes to enable him to walk free from court. Sitting in the jury is Meg Magellan whose daughter's life is being threatened by a stranger who tells her that if she ever wants to see her alive again it is very simple. At the end of the trial all she has to do is make sure the jury says just two words . . . Not guilty. Although the Roy Grace novels can be read in any order Find Them Dead is the sixteenth title in the bestselling series. Discover more of the Brighton detective’s investigations with Left You Dead. Now a major ITV series Grace starring John Simm.
Creepers,Thriller,Asbury Park New Jersey: In einer kalten Oktobernacht dringt eine Gruppe von fünf Abenteurern in ein ehemaliges Luxushotel ein. Das Paragon Hotel ist vor hundert Jahren von einem exzentrischen Millionär in Form einer Maya-Pyramide erbaut worden – und es steht seit dreißig Jahren leer. Die fünf Eindringlinge suchen den ultimativen Kick. Doch der kommt ganz anders als sie es sich vorgestellt hatten. In dem halb verfallenen Gebäude ist die Vergangenheit unerwartet lebendig – und hinterhältig. Und sie fordert einen hohen Preis: Die Nacht verwandelt sich in einen Alptraum des Schreckens aus dem es kein Entrinnen zu geben scheint ... Creepers von David Morrell: Spannung pur im eBook!
Monster (Alex Delaware series Book 13),Thriller,Can Alex solve one of his most thrilling cases yet? New York Times No. 1 bestseller Jonathan Kellerman gives psychologist Alex Delaware a gruesome and twisting case to unravel in Monster the gripping thirteenth instalment. Perfect for fans of Harlan Coben and David Baldacci. 'Ingenious and horrifying' -The Sunday Times A corpse is found in a car trunk. The victim was a twenty-five-year-old would-be actor called Richard Dada. He had been sawn in half. Eight months later the body of Claire Argent a psychologist at a hospital for the criminally insane is discovered. She was mutilated in the same horrific way. Detective Milo Sturgis is put on the case and when the incoherent ramblings of a patient locked up in a mental hospital for the criminally insane begin to make terrifying sense he calls on psychologist Alex Delaware to help him delve into the muddy waters of insanity. Can Alex and Milo unravel this dark web of family secrets vengeance and manipulation in time to stop further killing? What readers are saying about Monster: 'Intelligent and thought-provoking' 'Creepy compelling and realistic' 'Another well written and intriguing Kellerman novel'
The Unbroken Line,Thriller,Our dependence on Internet connectivity literally comes back to haunt us in this gripping thriller in the Life Online series.to prevent the greatest technology threat ever seen from starting a world war in this gripping thriller in the Life Online series. ﻿ What if your last text triggered the next world war? In the near future the dead live on as virtual holograms interacting with humans through an omnipresent cyber Network. In Washington DC heartbroken U.S. President Arturo Solar is recklessly communicating with an illegal copy of his dead daughter's digital conscience. But his mourning is shattered when terrifying undetectable drones appear all over the world and in outer space. Global militaries are left defense-less against the advanced machines capable of targeting and disarming any perceived threat. But where did the drones come from? And who is in control? To his shock President Solar realizes a connection no one else can see and scrambles to rally the world's last known thinkers to save the world from inevitable war. Kade Laltanca the brilliant beautiful no-nonsense Commander of UN Special Command is called back to DC to find and fix an inconceivable cyber conflict. Kade rallies a global team of technologists intelligence agents and diplomats to search the world for clues to stopping the cyber glitch. But without the help of rogue technologists their greatest enemies and biggest rivals global law enforcement may stand no chance on their own. The team must risk the entire infrastructure of global cybersecurity to align with rogue techs and their unpredictable friends in the battle for humanity's survival. Criss-crossing the world from the Amazon rainforest to the heat of Cape Canaveral and the bitter winter cold in Moscow The Unbroken Line is a thrilling future fiction international adventure from earth to outer space. This is Book 2 in the unprecedented Life Online speculative science fiction thriller series about our battle to survive in the world we are now creating as we come to grips with the disturbing consequence of humanity's dependence on programmed machines and the visionary benefits of the technology. Each Life Online book can be read independently. The Life Online Series #1 The Motion Clue #2 The Unbroken Line #3 The Probable Cause #4 The Downward Shift
Her Silent Prayer,Thriller,“Help!” she screams kicking as hard as she can against the closet door. But it’s nailed shut and nobody can hear her. She drops to her knees and curls into a ball like she did as a little girl praying someone will find her before it is too late… When the body of single mother Melissa Rollins is found trapped inside a bedroom closet in her immaculate suburban home Detective Jo Fournier races to the scene. The small town of Greenfern is sweltering in a heatwave and Jo is horrified to find that Melissa’s heating was turned up to the max whilst she died of thirst. Who would kill a devoted mother in such a cruel way? Searching the house for clues Jo’s team discovers that the front door was locked from the inside. And with no sign of a break-in they realise the killer must be someone Melissa knew. But everyone in the frame has an alibi… As she delves deeper into the case Jo uncovers a link between Melissa and a recent cold case: another single mother who was tied up and brutally murdered. Someone is on a mission to kill single moms and Jo knows they will claim their next victim soon. But as temperatures continue to rise and the team works around the clock to stop a twisted killer someone from Jo’s past catches up with her. They’re watching her family’s every move and they will stop at nothing to get revenge… Can Jo save the people she loves and catch the killer before it’s too late? From USA Today bestseller M.M. Chouinard Her Silent Prayer is a completely addictive serial killer thriller that will not let you go until you turn the last heart-thumping page! Perfect for fans of Lisa Regan Melinda Leigh and Gregg Olsen. Readers love Her Silent Prayer: “WHAT did I just read!!!! WOW!!! I mean seriously Wow!!… MASSIVE WELL DONE… had me hook line and sinker!!!… Clear your schedules as you will not be able to put it down!!!… an absolutely page turning must read that will leave you wanting more!!!” Bookworm86 ⭐⭐⭐⭐⭐ “MY HEART IS RACING … beyond brilliant… simply astounding.” KKEC Reads ⭐⭐⭐⭐⭐ “Phenomenal! So addictive I could not put it down… brilliant.” We Know Whodunnit Book Club ⭐⭐⭐⭐⭐ “Amazing… my Christmases all came at once!… It was everything I wanted it to be and more!… Brilliant.” Once Upon A Time Book Reviews⭐⭐⭐⭐⭐ “Brilliant… I was hooked from the beginning to the end… excellent from the start to the finish and will have you sitting on the edge of your chair!… I loved it! Goodreads reviewer ⭐⭐⭐⭐⭐ “Wow!... brilliant… You will race through the pages because you HAVE to know who the killer will be!” Goodreads reviewer⭐⭐⭐⭐⭐ “Has you gasping for breath from the first to the last page… nail biting.” Goodreads reviewer ⭐⭐⭐⭐⭐ “Keeps you on the edge of your seat… with all the WoW moments that blow your mind!… I was hooked from the beginning… Wowza!… Amazing!” @RubieReads ⭐⭐⭐⭐⭐ “Oh my gosh!… had me reading late into the night!” @shortbookthyme ⭐⭐⭐⭐⭐ “Amazing… I loved loved loved it.” B for Book Review ⭐⭐⭐⭐⭐ “Brilliant and genius… gripping and exciting… a must read you’ll keep thinking about.” NetGalley reviewer⭐⭐⭐⭐⭐ “Amazing… I couldn’t stop reading” Goodreads reviewer ⭐⭐⭐⭐⭐ “Wow! I absolutely loved this… It manages to stand apart from all the other stories in this genre.” NetGalley reviewer
The Helper,Thriller,Furiously fast-paced and totally unpredictable a compulsive thriller is perfect for fans of Lee Child and Harlan Coben An anonymous caller is willing to give you clues that will help you solve a series of murders. But there's a catch: You can't tell anyone about the help you're getting. What do you do? If you turn the offer down you will have nothing to go on and more people could die. But if you accept it and fail to interpret the clues correctly they will still die and you will have concealed information that could have stopped a killer. Such is the dilemma faced by New York detective Callum Doyle. The decision he takes will have consequences that will haunt him for the rest of his life.
The Dead Don’t Lie: An Unpredictable Psychological Thriller (Mind Games #3),Thriller,A crime-solving psychologist finds herself locked in a battle of wits when a murderer strikes too close to home. An unpredictable suspense thriller for fans of You. Doctor Maggie Connolly spends her life helping her patients working with ex-convicts and countless hours consulting with the police to catch killers. How better to deal with her guilt about her brother’s disappearance than to help others in need? But when Aiden’s body is discovered Maggie’s life is turned upside down. After twenty-six years the case is colder than his bones. And the original detective is up to his old tricks—he seems to believe Maggie herself is responsible. Even her own mother doesn’t believe Maggie’s story about what happened that day. And she shouldn’t. Though Maggie didn’t kill her brother she is guilty of something terrible. But is it connected to Aiden’s death? One thing is clear: The person who murdered her brother has information that no one else should know. Maggie herself will not escape this investigation unscathed. She can only hope to find her brother’s killer before they take everyone else Maggie loves to the grave. Immersive unputdownable and darkly hilarious Mind Games is a fast-paced psychological crime series for fans of Caroline Kepnes Gillian Flynn and Bones. *** KEYWORDS: strong female lead female sleuth female investigator amateur sleuth psychologist sleuth female protagonist psychologist protagonist mystery suspense thriller series hard-boiled mysteries female protagonist pulp murder female lawyer protagonist noir dark mood hard-boiled mystery police procedural mystery series crime noir gritty detective novels psychological thrillers serial killer crime thriller crime fiction hard boiled detective hardboiled detective fiction hard boiled crime funny psychologist dorky sleuth gritty mysteries mystery series books psychological thriller series psychological thriller detective shrink partner psychologist detective psychological suspense psychological thriller books nail biter mysteries wise cracking detective detective partners crime fiction urban murder mystery serial killer thriller female protagonist whodunit whodunnit family drama domestic suspense thriller psychological domestic suspense dark and suspenseful
Act of Treason,Thriller,"Scharfschütze Kyle Swanson gerät ins Visier eines Mannes den er einst vergötterte ... Gunnery Sergeant Swanson und die attraktive CIA-Agentin Lauren Carson sind auf einer Mission in Pakistan. Aber Swanson wird gefangen genommen und ins Gefängnis gesteckt. Carson wird beschuldigt eine Doppelagentin zu sein. Helfen kann ihnen nur der Mann der sie auf die geheime Operation geschickt hat - Jim Hall ein legendärer CIA-Agent Swansons Mentor als Scharfschütze und Carsons Chef und ehemaliger Liebhaber. Doch Hall spielt ein doppeltes Spiel. Und sein ehemaliger Schützling Swanson ist alles was ihm dabei noch im Weg steht ... Der vierte Roman um Sniper Kyle Swanson - spannende Militär-Action von den New-York-Times-Bestseller-Autoren Jack Coughlin und Donald A. Davis. Für alle Fans von Tom Clancy Lee Child und Will Jordan! ""Coughlin kontrastiert anschaulich das Ethos von Soldaten die nie einen Kameraden zurücklassen mit der narzisstischen CIA-Kultur."" (Publishers Weekly) Die Kyle Swanson Thriller in der richtigen Reihenfolge: 1. Kill Zone 2. Dead Shot 3. Clean Kill eBooks von beTHRILLED - mörderisch gute Unterhaltung."
